agency_cd,site_no,START_DATE,Q_mean_cfs,QAQC
USGS,01073500,2007-09-30,11.1,A
USGS,01073500,2007-10-01,14.4,A
USGS,01073500,2007-10-02,11.4,A
USGS,01073500,2007-10-03,11.1,A
USGS,01073500,2007-10-04,11.2,A
USGS,01073500,2007-10-05,9.55,A
USGS,01073500,2007-10-06,11.6,A
USGS,01073500,2007-10-07,18.4,A
USGS,01073500,2007-10-08,15.7,A
USGS,01073500,2007-10-09,18.9,A
USGS,01073500,2007-10-10,98.4,A
USGS,01073500,2007-10-11,147,A
USGS,01073500,2007-10-12,168,A
USGS,01073500,2007-10-13,150,A
USGS,01073500,2007-10-14,117,A
USGS,01073500,2007-10-15,94.1,A
USGS,01073500,2007-10-16,78.4,A
USGS,01073500,2007-10-17,65.6,A
USGS,01073500,2007-10-18,102,A
USGS,01073500,2007-10-19,143,A
USGS,01073500,2007-10-20,157,A
USGS,01073500,2007-10-21,136,A
USGS,01073500,2007-10-22,114,A
USGS,01073500,2007-10-23,95.3,A
USGS,01073500,2007-10-24,78.9,A
USGS,01073500,2007-10-25,105,A
USGS,01073500,2007-10-26,149,A
USGS,01073500,2007-10-27,143,A
USGS,01073500,2007-10-28,149,A
USGS,01073500,2007-10-29,139,A
USGS,01073500,2007-10-30,122,A
USGS,01073500,2007-10-31,131,A
USGS,01073500,2007-11-01,143,A
USGS,01073500,2007-11-02,121,A
USGS,01073500,2007-11-03,121,A
USGS,01073500,2007-11-04,170,A
USGS,01073500,2007-11-05,152,A
USGS,01073500,2007-11-06,160,A
USGS,01073500,2007-11-07,192,A
USGS,01073500,2007-11-08,223,A
USGS,01073500,2007-11-09,199,A
USGS,01073500,2007-11-10,174,A
USGS,01073500,2007-11-11,157,A
USGS,01073500,2007-11-12,137,A
USGS,01073500,2007-11-13,126,A
USGS,01073500,2007-11-14,118,A
USGS,01073500,2007-11-15,118,A
USGS,01073500,2007-11-16,164,A
USGS,01073500,2007-11-17,197,A
USGS,01073500,2007-11-18,206,A
USGS,01073500,2007-11-19,184,A
USGS,01073500,2007-11-20,161,A
USGS,01073500,2007-11-21,148,A
USGS,01073500,2007-11-22,149,A
USGS,01073500,2007-11-23,147,A
USGS,01073500,2007-11-24,144,A
USGS,01073500,2007-11-25,126,A
USGS,01073500,2007-11-26,124,A
USGS,01073500,2007-11-27,208,A
USGS,01073500,2007-11-28,260,A
USGS,01073500,2007-11-29,280,A
USGS,01073500,2007-11-30,240,A
USGS,01073500,2007-12-01,200,A
USGS,01073500,2007-12-02,142,A:e
USGS,01073500,2007-12-03,140,A:e
USGS,01073500,2007-12-04,149,A
USGS,01073500,2007-12-05,142,A
USGS,01073500,2007-12-06,136,A:e
USGS,01073500,2007-12-07,127,A
USGS,01073500,2007-12-08,121,A:e
USGS,01073500,2007-12-09,115,A:e
USGS,01073500,2007-12-10,109,A:e
USGS,01073500,2007-12-11,105,A:e
USGS,01073500,2007-12-12,106,A:e
USGS,01073500,2007-12-13,108,A:e
USGS,01073500,2007-12-14,111,A:e
USGS,01073500,2007-12-15,113,A:e
USGS,01073500,2007-12-16,115,A:e
USGS,01073500,2007-12-17,118,A:e
USGS,01073500,2007-12-18,120,A:e
USGS,01073500,2007-12-19,117,A:e
USGS,01073500,2007-12-20,115,A:e
USGS,01073500,2007-12-21,113,A:e
USGS,01073500,2007-12-22,111,A:e
USGS,01073500,2007-12-23,118,A:e
USGS,01073500,2007-12-24,165,A:e
USGS,01073500,2007-12-25,190,A:e
USGS,01073500,2007-12-26,220,A:e
USGS,01073500,2007-12-27,223,A
USGS,01073500,2007-12-28,211,A
USGS,01073500,2007-12-29,232,A
USGS,01073500,2007-12-30,277,A
USGS,01073500,2007-12-31,290,A
USGS,01073500,2008-01-01,289,A
