agency_cd,site_no,START_DATE,Q_mean_cfs,QAQC
USGS,01073587,2007-09-30,1.49,A
USGS,01073587,2007-10-01,1.64,A
USGS,01073587,2007-10-02,1.60,A
USGS,01073587,2007-10-03,1.55,A
USGS,01073587,2007-10-04,1.43,A
USGS,01073587,2007-10-05,1.43,A
USGS,01073587,2007-10-06,1.60,A
USGS,01073587,2007-10-07,1.51,A
USGS,01073587,2007-10-08,1.88,A
USGS,01073587,2007-10-09,1.82,A
USGS,01073587,2007-10-10,3.95,A
USGS,01073587,2007-10-11,8.14,A
USGS,01073587,2007-10-12,9.47,A
USGS,01073587,2007-10-13,8.79,A
USGS,01073587,2007-10-14,8.74,A
USGS,01073587,2007-10-15,6.91,A
USGS,01073587,2007-10-16,5.33,A
USGS,01073587,2007-10-17,4.23,A
USGS,01073587,2007-10-18,3.76,A
USGS,01073587,2007-10-19,3.52,A
USGS,01073587,2007-10-20,13.2,A
USGS,01073587,2007-10-21,10.4,A
USGS,01073587,2007-10-22,9.69,A
USGS,01073587,2007-10-23,7.46,A
USGS,01073587,2007-10-24,6.46,A
USGS,01073587,2007-10-25,5.40,A
USGS,01073587,2007-10-26,4.94,A
USGS,01073587,2007-10-27,7.73,A
USGS,01073587,2007-10-28,14.2,A
USGS,01073587,2007-10-29,14.7,A
USGS,01073587,2007-10-30,11.8,A
USGS,01073587,2007-10-31,8.69,A
USGS,01073587,2007-11-01,7.75,A
USGS,01073587,2007-11-02,8.12,A
USGS,01073587,2007-11-03,21.8,A
USGS,01073587,2007-11-04,33.1,A
USGS,01073587,2007-11-05,6.87,A
USGS,01073587,2007-11-06,24.2,A
USGS,01073587,2007-11-07,35.3,A
USGS,01073587,2007-11-08,34.5,A
USGS,01073587,2007-11-09,29.8,A
USGS,01073587,2007-11-10,26.8,A
USGS,01073587,2007-11-11,24.2,A
USGS,01073587,2007-11-12,22.4,A
USGS,01073587,2007-11-13,21.7,A
USGS,01073587,2007-11-14,21.8,A
USGS,01073587,2007-11-15,22.3,A
USGS,01073587,2007-11-16,35.9,A
USGS,01073587,2007-11-17,41.7,A
USGS,01073587,2007-11-18,37.0,A
USGS,01073587,2007-11-19,33.3,A
USGS,01073587,2007-11-20,30.9,A
USGS,01073587,2007-11-21,31.0,A
USGS,01073587,2007-11-22,35.4,A
USGS,01073587,2007-11-23,38.8,A
USGS,01073587,2007-11-24,36.2,A
USGS,01073587,2007-11-25,33.3,A
USGS,01073587,2007-11-26,33.9,A
USGS,01073587,2007-11-27,51.0,A
USGS,01073587,2007-11-28,62.9,A
USGS,01073587,2007-11-29,54.7,A
USGS,01073587,2007-11-30,47.4,A
USGS,01073587,2007-12-01,41.6,A
USGS,01073587,2007-12-02,38.0,A:e
USGS,01073587,2007-12-03,35.9,A
USGS,01073587,2007-12-04,33.8,A
USGS,01073587,2007-12-05,34.1,A
USGS,01073587,2007-12-06,32.6,A
USGS,01073587,2007-12-07,30.0,A
USGS,01073587,2007-12-08,28.6,A
USGS,01073587,2007-12-09,28.0,A
USGS,01073587,2007-12-10,28.5,A
USGS,01073587,2007-12-11,27.8,A
USGS,01073587,2007-12-12,28.3,A
USGS,01073587,2007-12-13,30.7,A
USGS,01073587,2007-12-14,31.6,A
USGS,01073587,2007-12-15,31.2,A
USGS,01073587,2007-12-16,34.7,A
USGS,01073587,2007-12-17,35.3,A
USGS,01073587,2007-12-18,34.9,A
USGS,01073587,2007-12-19,34.8,A
USGS,01073587,2007-12-20,36.5,A
USGS,01073587,2007-12-21,35.9,A
USGS,01073587,2007-12-22,35.5,A
USGS,01073587,2007-12-23,35.6,A
USGS,01073587,2007-12-24,52.6,A
USGS,01073587,2007-12-25,66.4,A
USGS,01073587,2007-12-26,66.3,A
USGS,01073587,2007-12-27,65.0,A
USGS,01073587,2007-12-28,64.1,A
USGS,01073587,2007-12-29,69.3,A
USGS,01073587,2007-12-30,81.7,A
USGS,01073587,2007-12-31,85.9,A
USGS,01073587,2008-01-01,80.9,A
USGS,01073587,2008-01-02,77.5,A
USGS,01073587,2008-01-03,73.2,A:e
USGS,01073587,2008-01-04,67.9,A:e
USGS,01073587,2008-01-05,64.7,A
USGS,01073587,2008-01-06,62.2,A
USGS,01073587,2008-01-07,64.0,A
USGS,01073587,2008-01-08,65.2,A
USGS,01073587,2008-01-09,75.9,A
USGS,01073587,2008-01-10,112,A
USGS,01073587,2008-01-11,195,A
USGS,01073587,2008-01-12,262,A
USGS,01073587,2008-01-13,325,A
USGS,01073587,2008-01-14,325,A
USGS,01073587,2008-01-15,282,A
USGS,01073587,2008-01-16,253,A
USGS,01073587,2008-01-17,170,A:e
USGS,01073587,2008-01-18,182,A
USGS,01073587,2008-01-19,192,A
USGS,01073587,2008-01-20,187,A
USGS,01073587,2008-01-21,170,A:e
USGS,01073587,2008-01-22,145,A:e
USGS,01073587,2008-01-23,124,A
USGS,01073587,2008-01-24,112,A
USGS,01073587,2008-01-25,99.6,A:e
USGS,01073587,2008-01-26,90.4,A:e
USGS,01073587,2008-01-27,82.4,A
USGS,01073587,2008-01-28,81.8,A
USGS,01073587,2008-01-29,81.6,A
USGS,01073587,2008-01-30,83.7,A
USGS,01073587,2008-01-31,91.4,A
USGS,01073587,2008-02-01,92.7,A
USGS,01073587,2008-02-02,155,A
USGS,01073587,2008-02-03,197,A
USGS,01073587,2008-02-04,202,A
USGS,01073587,2008-02-05,225,A
USGS,01073587,2008-02-06,291,A
USGS,01073587,2008-02-07,424,A
USGS,01073587,2008-02-08,477,A
USGS,01073587,2008-02-09,443,A
USGS,01073587,2008-02-10,399,A
USGS,01073587,2008-02-11,330,A:e
USGS,01073587,2008-02-12,260,A:e
USGS,01073587,2008-02-13,279,A
USGS,01073587,2008-02-14,490,A
USGS,01073587,2008-02-15,731,A
USGS,01073587,2008-02-16,704,A
USGS,01073587,2008-02-17,614,A
USGS,01073587,2008-02-18,567,A
USGS,01073587,2008-02-19,688,A
USGS,01073587,2008-02-20,707,A
USGS,01073587,2008-02-21,592,A
USGS,01073587,2008-02-22,467,A
USGS,01073587,2008-02-23,337,A
USGS,01073587,2008-02-24,283,A
USGS,01073587,2008-02-25,246,A
USGS,01073587,2008-02-26,221,A
USGS,01073587,2008-02-27,218,A
USGS,01073587,2008-02-28,217,A
USGS,01073587,2008-02-29,230,A
USGS,01073587,2008-03-01,196,A
USGS,01073587,2008-03-02,185,A
USGS,01073587,2008-03-03,174,A
USGS,01073587,2008-03-04,191,A
USGS,01073587,2008-03-05,322,A
USGS,01073587,2008-03-06,522,A
USGS,01073587,2008-03-07,562,A
USGS,01073587,2008-03-08,643,A
USGS,01073587,2008-03-09,968,A
USGS,01073587,2008-03-10,993,A
