agency_cd,site_no,START_DATE,Q_mean_cfs,QAQC
USGS,01073785,2007-09-30,0.76,A
USGS,01073785,2007-10-01,0.72,A
USGS,01073785,2007-10-02,0.68,A
USGS,01073785,2007-10-03,0.84,A
USGS,01073785,2007-10-04,0.86,A
USGS,01073785,2007-10-05,0.69,A
USGS,01073785,2007-10-06,0.61,A
USGS,01073785,2007-10-07,0.64,A
USGS,01073785,2007-10-08,0.79,A
USGS,01073785,2007-10-09,0.91,A
USGS,01073785,2007-10-10,1.02,A
USGS,01073785,2007-10-11,1.07,A
USGS,01073785,2007-10-12,4.04,A
USGS,01073785,2007-10-13,5.98,A
USGS,01073785,2007-10-14,3.95,A
USGS,01073785,2007-10-15,2.83,A
USGS,01073785,2007-10-16,2.28,A
USGS,01073785,2007-10-17,1.92,A
USGS,01073785,2007-10-18,1.74,A
USGS,01073785,2007-10-19,1.62,A
USGS,01073785,2007-10-20,10.7,A
USGS,01073785,2007-10-21,8.91,A
USGS,01073785,2007-10-22,5.23,A
USGS,01073785,2007-10-23,3.65,A
USGS,01073785,2007-10-24,2.63,A
USGS,01073785,2007-10-25,2.27,A
USGS,01073785,2007-10-26,2.21,A
USGS,01073785,2007-10-27,3.56,A
USGS,01073785,2007-10-28,7.59,A
USGS,01073785,2007-10-29,5.68,A
USGS,01073785,2007-10-30,4.14,A
USGS,01073785,2007-10-31,3.30,A
USGS,01073785,2007-11-01,2.91,A
USGS,01073785,2007-11-02,2.58,A
USGS,01073785,2007-11-03,2.95,A
USGS,01073785,2007-11-04,18.5,A
USGS,01073785,2007-11-05,9.95,A
USGS,01073785,2007-11-06,31.2,A
USGS,01073785,2007-11-07,47.9,A
USGS,01073785,2007-11-08,30.5,A
USGS,01073785,2007-11-09,21.0,A
USGS,01073785,2007-11-10,15.1,A
USGS,01073785,2007-11-11,12.7,A
USGS,01073785,2007-11-12,10.5,A
USGS,01073785,2007-11-13,10.4,A
USGS,01073785,2007-11-14,10.1,A
USGS,01073785,2007-11-15,10.6,A
USGS,01073785,2007-11-16,30.5,A
USGS,01073785,2007-11-17,23.1,A
USGS,01073785,2007-11-18,21.4,A
USGS,01073785,2007-11-19,19.5,A
USGS,01073785,2007-11-20,17.3,A
USGS,01073785,2007-11-21,16.8,A
USGS,01073785,2007-11-22,15.8,A
USGS,01073785,2007-11-23,14.9,A
USGS,01073785,2007-11-24,11.0,A
USGS,01073785,2007-11-25,8.65,A
USGS,01073785,2007-11-26,10.9,A
USGS,01073785,2007-11-27,26.9,A
USGS,01073785,2007-11-28,18.5,A
USGS,01073785,2007-11-29,15.7,A
USGS,01073785,2007-11-30,16.5,A
USGS,01073785,2007-12-01,12.4,A
USGS,01073785,2007-12-02,8.20,A
USGS,01073785,2007-12-03,9.49,A
USGS,01073785,2007-12-04,15.4,A
USGS,01073785,2007-12-05,11.4,A
USGS,01073785,2007-12-06,9.22,A
USGS,01073785,2007-12-07,7.69,A
USGS,01073785,2007-12-08,6.97,A
USGS,01073785,2007-12-09,6.90,A:e
USGS,01073785,2007-12-10,6.67,A
USGS,01073785,2007-12-11,6.42,A
USGS,01073785,2007-12-12,6.82,A
USGS,01073785,2007-12-13,7.80,A:e
USGS,01073785,2007-12-14,7.80,A:e
USGS,01073785,2007-12-15,7.91,A
USGS,01073785,2007-12-16,8.50,A:e
USGS,01073785,2007-12-17,17.5,A
USGS,01073785,2007-12-18,15.1,A
USGS,01073785,2007-12-19,10.6,A
USGS,01073785,2007-12-20,10.9,A
USGS,01073785,2007-12-21,9.52,A
USGS,01073785,2007-12-22,9.13,A
USGS,01073785,2007-12-23,9.76,A
USGS,01073785,2007-12-24,31.0,A
USGS,01073785,2007-12-25,30.0,A
USGS,01073785,2007-12-26,22.2,A
USGS,01073785,2007-12-27,19.7,A
USGS,01073785,2007-12-28,20.6,A
USGS,01073785,2007-12-29,32.4,A
USGS,01073785,2007-12-30,37.7,A
USGS,01073785,2007-12-31,29.4,A
USGS,01073785,2008-01-01,26.0,A:e
USGS,01073785,2008-01-02,24.0,A:e
USGS,01073785,2008-01-03,23.0,A:e
USGS,01073785,2008-01-04,22.0,A:e
USGS,01073785,2008-01-05,21.0,A:e
USGS,01073785,2008-01-06,20.0,A:e
USGS,01073785,2008-01-07,22.4,A
USGS,01073785,2008-01-08,26.0,A
USGS,01073785,2008-01-09,53.0,A
USGS,01073785,2008-01-10,70.6,A
USGS,01073785,2008-01-11,83.7,A
USGS,01073785,2008-01-12,121,A
USGS,01073785,2008-01-13,78.7,A
USGS,01073785,2008-01-14,63.3,A
USGS,01073785,2008-01-15,55.2,A
USGS,01073785,2008-01-16,45.0,A:e
USGS,01073785,2008-01-17,42.0,A:e
USGS,01073785,2008-01-18,70.0,A:e
USGS,01073785,2008-01-19,71.5,A
USGS,01073785,2008-01-20,48.0,A
USGS,01073785,2008-01-21,38.0,A:e
USGS,01073785,2008-01-22,34.0,A:e
USGS,01073785,2008-01-23,30.0,A:e
USGS,01073785,2008-01-24,25.4,A
USGS,01073785,2008-01-25,20.6,A
USGS,01073785,2008-01-26,16.9,A
USGS,01073785,2008-01-27,15.2,A
USGS,01073785,2008-01-28,14.5,A
USGS,01073785,2008-01-29,14.7,A
USGS,01073785,2008-01-30,16.7,A
USGS,01073785,2008-01-31,19.0,A
USGS,01073785,2008-02-01,20.7,A
USGS,01073785,2008-02-02,91.6,A
USGS,01073785,2008-02-03,57.1,A
USGS,01073785,2008-02-04,46.8,A
USGS,01073785,2008-02-05,64.5,A
USGS,01073785,2008-02-06,124,A
USGS,01073785,2008-02-07,136,A
USGS,01073785,2008-02-08,89.2,A
USGS,01073785,2008-02-09,72.2,A
USGS,01073785,2008-02-10,62.9,A
USGS,01073785,2008-02-11,52.3,A
USGS,01073785,2008-02-12,50.0,A:e
USGS,01073785,2008-02-13,80.0,A:e
USGS,01073785,2008-02-14,150,A:e
