agency_cd,site_no,START_DATE,Q_mean_cfs,QAQC
USGS,01073500,2007-01-01,421,A
USGS,01073500,2007-01-02,569,A
USGS,01073500,2007-01-03,600,A
USGS,01073500,2007-01-04,569,A
USGS,01073500,2007-01-05,506,A
USGS,01073500,2007-01-06,538,A
USGS,01073500,2007-01-07,629,A
USGS,01073500,2007-01-08,815,A
USGS,01073500,2007-01-09,1020,A
USGS,01073500,2007-01-10,1030,A
USGS,01073500,2007-01-11,876,A
USGS,01073500,2007-01-12,705,A
USGS,01073500,2007-01-13,612,A
USGS,01073500,2007-01-14,564,A
USGS,01073500,2007-01-15,541,A
USGS,01073500,2007-01-16,523,A
USGS,01073500,2007-01-17,440,A:e
USGS,01073500,2007-01-18,420,A:e
USGS,01073500,2007-01-19,425,A
USGS,01073500,2007-01-20,381,A
USGS,01073500,2007-01-21,321,A
USGS,01073500,2007-01-22,321,A
USGS,01073500,2007-01-23,298,A
USGS,01073500,2007-01-24,273,A
USGS,01073500,2007-01-25,249,A
USGS,01073500,2007-01-26,189,A
USGS,01073500,2007-01-27,182,A
USGS,01073500,2007-01-28,190,A
USGS,01073500,2007-01-29,187,A
USGS,01073500,2007-01-30,167,A
USGS,01073500,2007-01-31,156,A
USGS,01073500,2007-02-01,141,A
USGS,01073500,2007-02-02,130,A
USGS,01073500,2007-02-03,130,A
USGS,01073500,2007-02-04,135,A:e
USGS,01073500,2007-02-05,125,A:e
USGS,01073500,2007-02-06,120,A:e
USGS,01073500,2007-02-07,114,A
USGS,01073500,2007-02-08,108,A
USGS,01073500,2007-02-09,104,A
USGS,01073500,2007-02-10,99.4,A
USGS,01073500,2007-02-11,97,A
USGS,01073500,2007-02-12,94,A
USGS,01073500,2007-02-13,86.9,A
USGS,01073500,2007-02-14,80.8,A
USGS,01073500,2007-02-15,81.3,A
USGS,01073500,2007-02-16,88,A
USGS,01073500,2007-02-17,93.6,A
USGS,01073500,2007-02-18,93.6,A
USGS,01073500,2007-02-19,90,A
USGS,01073500,2007-02-20,87.6,A
USGS,01073500,2007-02-21,87.8,A
USGS,01073500,2007-02-22,87.5,A
USGS,01073500,2007-02-23,87.6,A
USGS,01073500,2007-02-24,86.3,A
USGS,01073500,2007-02-25,85.2,A
USGS,01073500,2007-02-26,85.4,A
USGS,01073500,2007-02-27,86.2,A
USGS,01073500,2007-02-28,88.5,A
USGS,01073500,2007-03-01,88.7,A
USGS,01073500,2007-03-02,107,A
USGS,01073500,2007-03-03,196,A
USGS,01073500,2007-03-04,249,A
USGS,01073500,2007-03-05,262,A
USGS,01073500,2007-03-06,239,A
USGS,01073500,2007-03-07,191,A
USGS,01073500,2007-03-08,156,A
USGS,01073500,2007-03-09,128,A
USGS,01073500,2007-03-10,116,A
USGS,01073500,2007-03-11,191,A
USGS,01073500,2007-03-12,280,A
USGS,01073500,2007-03-13,333,A
