agency_cd,site_no,START_DATE,Q_mean_cfs,QAQC
USGS,01073587,2007-01-01,161,A
USGS,01073587,2007-01-02,207,A
USGS,01073587,2007-01-03,214,A
USGS,01073587,2007-01-04,198,A
USGS,01073587,2007-01-05,184,A
USGS,01073587,2007-01-06,184,A
USGS,01073587,2007-01-07,195,A
USGS,01073587,2007-01-08,226,A
USGS,01073587,2007-01-09,322,A
USGS,01073587,2007-01-10,308,A
USGS,01073587,2007-01-11,240,A
USGS,01073587,2007-01-12,225,A
USGS,01073587,2007-01-13,204,A
USGS,01073587,2007-01-14,192,A
USGS,01073587,2007-01-15,185,A
USGS,01073587,2007-01-16,185,A
USGS,01073587,2007-01-17,165,A:e
USGS,01073587,2007-01-18,145,A:e
USGS,01073587,2007-01-19,140,A:e
USGS,01073587,2007-01-20,125,A:e
USGS,01073587,2007-01-21,115,A:e
USGS,01073587,2007-01-22,105,A:e
USGS,01073587,2007-01-23,102,A
USGS,01073587,2007-01-24,93,A:e
USGS,01073587,2007-01-25,91,A:e
USGS,01073587,2007-01-26,76.3,A:e
USGS,01073587,2007-01-27,69,A:e
USGS,01073587,2007-01-28,67,A:e
USGS,01073587,2007-01-29,67.3,A
USGS,01073587,2007-01-30,63.3,A:e
USGS,01073587,2007-01-31,59.2,A
USGS,01073587,2007-02-01,56.5,A
USGS,01073587,2007-02-02,53.1,A:e
USGS,01073587,2007-02-03,53,A:e
USGS,01073587,2007-02-04,52,A:e
USGS,01073587,2007-02-05,50,A:e
USGS,01073587,2007-02-06,47.8,A:e
USGS,01073587,2007-02-07,45,A:e
USGS,01073587,2007-02-08,42,A:e
USGS,01073587,2007-02-09,41.5,A:e
USGS,01073587,2007-02-10,39.2,A:e
USGS,01073587,2007-02-11,37.9,A:e
USGS,01073587,2007-02-12,36.7,A:e
USGS,01073587,2007-02-13,34.3,A:e
USGS,01073587,2007-02-14,34.3,A:e
USGS,01073587,2007-02-15,35.5,A:e
USGS,01073587,2007-02-16,37.9,A:e
USGS,01073587,2007-02-17,39.2,A:e
USGS,01073587,2007-02-18,39.2,A:e
USGS,01073587,2007-02-19,36.7,A:e
USGS,01073587,2007-02-20,36.7,A:e
USGS,01073587,2007-02-21,37.9,A:e
USGS,01073587,2007-02-22,37.9,A:e
