agency_cd,site_no,START_DATE,Q_mean_cfs,QAQC
USGS,01073785,2007-01-01,43.1,A
USGS,01073785,2007-01-02,70.5,A
USGS,01073785,2007-01-03,46.7,A
USGS,01073785,2007-01-04,41.3,A
USGS,01073785,2007-01-05,37.7,A
USGS,01073785,2007-01-06,37.4,A
USGS,01073785,2007-01-07,35.9,A
USGS,01073785,2007-01-08,73.7,A
USGS,01073785,2007-01-09,80.1,A
USGS,01073785,2007-01-10,53.6,A
USGS,01073785,2007-01-11,40,A
USGS,01073785,2007-01-12,34.4,A
USGS,01073785,2007-01-13,32.1,A
USGS,01073785,2007-01-14,28.2,A
USGS,01073785,2007-01-15,32.8,A
USGS,01073785,2007-01-16,30.9,A
USGS,01073785,2007-01-17,22.7,A
USGS,01073785,2007-01-18,16.4,A
USGS,01073785,2007-01-19,18.6,A
USGS,01073785,2007-01-20,17.7,A:e
USGS,01073785,2007-01-21,13.1,A
USGS,01073785,2007-01-22,10.3,A
USGS,01073785,2007-01-23,10,A
USGS,01073785,2007-01-24,10.8,A
USGS,01073785,2007-01-25,10.2,A
USGS,01073785,2007-01-26,8.72,A
USGS,01073785,2007-01-27,7.22,A
USGS,01073785,2007-01-28,7.33,A
USGS,01073785,2007-01-29,7.3,A
USGS,01073785,2007-01-30,6.58,A
USGS,01073785,2007-01-31,6.01,A
USGS,01073785,2007-02-01,5.8,A
USGS,01073785,2007-02-02,6.06,A
USGS,01073785,2007-02-03,6.84,A
USGS,01073785,2007-02-04,6.54,A
USGS,01073785,2007-02-05,5.94,A
USGS,01073785,2007-02-06,5.42,A
USGS,01073785,2007-02-07,5.15,A
USGS,01073785,2007-02-08,4.94,A
USGS,01073785,2007-02-09,4.8,A
USGS,01073785,2007-02-10,4.62,A
USGS,01073785,2007-02-11,4.58,A
USGS,01073785,2007-02-12,4.55,A
USGS,01073785,2007-02-13,4.34,A:e
USGS,01073785,2007-02-14,4.24,A:e
USGS,01073785,2007-02-15,5,A:e
USGS,01073785,2007-02-16,5,A:e
USGS,01073785,2007-02-17,4.95,A
USGS,01073785,2007-02-18,5.04,A
USGS,01073785,2007-02-19,5.04,A
USGS,01073785,2007-02-20,4.87,A
USGS,01073785,2007-02-21,5.21,A
USGS,01073785,2007-02-22,5.37,A
USGS,01073785,2007-02-23,5.59,A
USGS,01073785,2007-02-24,5.51,A
USGS,01073785,2007-02-25,5.48,A
USGS,01073785,2007-02-26,5.6,A
USGS,01073785,2007-02-27,5.8,A
USGS,01073785,2007-02-28,6.22,A
USGS,01073785,2007-03-01,6.73,A
USGS,01073785,2007-03-02,43.9,A
USGS,01073785,2007-03-03,98.5,A
USGS,01073785,2007-03-04,50.3,A
USGS,01073785,2007-03-05,36.3,A
USGS,01073785,2007-03-06,26.6,A:e
USGS,01073785,2007-03-07,18.5,A:e
USGS,01073785,2007-03-08,15.8,A:e
USGS,01073785,2007-03-09,13.5,A:e
USGS,01073785,2007-03-10,14,A:e
USGS,01073785,2007-03-11,54.8,A
USGS,01073785,2007-03-12,69.1,A
USGS,01073785,2007-03-13,70.4,A
USGS,01073785,2007-03-14,108,A
USGS,01073785,2007-03-15,132,A
USGS,01073785,2007-03-16,87.5,A
USGS,01073785,2007-03-17,43.3,A
USGS,01073785,2007-03-18,49.4,A
USGS,01073785,2007-03-19,41.5,A
USGS,01073785,2007-03-20,35.4,A
USGS,01073785,2007-03-21,33.8,A
USGS,01073785,2007-03-22,44.5,A
USGS,01073785,2007-03-23,117,A
USGS,01073785,2007-03-24,112,A
USGS,01073785,2007-03-25,110,A
USGS,01073785,2007-03-26,98.2,A
USGS,01073785,2007-03-27,101,A
USGS,01073785,2007-03-28,92.4,A
