NPDES Permit Number,Outfall Number,Monitoring Location Code,Limit Set Designator,Parameter Code,Parameter Description,Monitoring Period Date,Limit Value,Limit Value Unit,DMR Value Type,Statistical Base,Limit Type Code,DMR Value,DMR Value Unit,Notes
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2019,1251,lb/d,Q2,DAILY MX,ENF,0,lb/d,NPDES Monitoring Period Data Download
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",2/29/2020,1251,lb/d,Q2,DAILY MX,ENF,0,lb/d,"NH0100871: EXETER WASTEWATER TREATMENT FACILITY, EXETER, NH"
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",4/30/2020,1251,lb/d,Q2,DAILY MX,ENF,0,lb/d,Monitoring Period = 1/01/2008 to 12/31/2023
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",5/31/2020,1251,lb/d,Q2,DAILY MX,ENF,0,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2020,1251,lb/d,Q2,DAILY MX,ENF,0,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",7/31/2020,1251,lb/d,Q2,DAILY MX,ENF,0,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",8/31/2020,1251,lb/d,Q2,DAILY MX,ENF,0,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",9/30/2020,1251,lb/d,Q2,DAILY MX,ENF,0,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",7/31/2021,1251,lb/d,Q2,DAILY MX,ENF,0,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",2/28/2010,1251,lb/d,Q2,DAILY MX,ENF,1043,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",5/31/2021,1251,lb/d,Q2,DAILY MX,ENF,107,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2013,1251,lb/d,Q2,DAILY MX,ENF,110,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2021,1251,lb/d,Q2,DAILY MX,ENF,110,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",2/28/2022,1251,lb/d,Q2,DAILY MX,ENF,110,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2020,1251,lb/d,Q2,DAILY MX,ENF,120,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",12/31/2020,1251,lb/d,Q2,DAILY MX,ENF,125,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",9/30/2016,1251,lb/d,Q2,DAILY MX,ENF,128,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2016,1251,lb/d,Q2,DAILY MX,ENF,128,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",4/30/2021,1251,lb/d,Q2,DAILY MX,ENF,138,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",1/31/2020,1251,lb/d,Q2,DAILY MX,ENF,140,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2009,1251,lb/d,Q2,DAILY MX,ENF,150,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2012,1251,lb/d,Q2,DAILY MX,ENF,150,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",5/31/2013,1251,lb/d,Q2,DAILY MX,ENF,150,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",3/31/2022,1251,lb/d,Q2,DAILY MX,ENF,152,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",3/31/2023,1251,lb/d,Q2,DAILY MX,ENF,158,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",9/30/2013,1251,lb/d,Q2,DAILY MX,ENF,165,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2019,1251,lb/d,Q2,DAILY MX,ENF,170,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2015,1251,lb/d,Q2,DAILY MX,ENF,174,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2011,1251,lb/d,Q2,DAILY MX,ENF,1766,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",5/31/2015,1251,lb/d,Q2,DAILY MX,ENF,180,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2018,1251,lb/d,Q2,DAILY MX,ENF,180,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2009,1251,lb/d,Q2,DAILY MX,ENF,183,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",9/30/2008,1251,lb/d,Q2,DAILY MX,ENF,184,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",12/31/2017,1251,lb/d,Q2,DAILY MX,ENF,184,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",8/31/2010,1251,lb/d,Q2,DAILY MX,ENF,187,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",5/31/2012,1251,lb/d,Q2,DAILY MX,ENF,187,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",12/31/2014,1251,lb/d,Q2,DAILY MX,ENF,187,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2008,1251,lb/d,Q2,DAILY MX,ENF,188,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2010,1251,lb/d,Q2,DAILY MX,ENF,192,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",12/31/2012,1251,lb/d,Q2,DAILY MX,ENF,192,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",7/31/2012,1251,lb/d,Q2,DAILY MX,ENF,195,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",5/31/2016,1251,lb/d,Q2,DAILY MX,ENF,198,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2013,1251,lb/d,Q2,DAILY MX,ENF,200,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",12/31/2016,1251,lb/d,Q2,DAILY MX,ENF,200,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2008,1251,lb/d,Q2,DAILY MX,ENF,206,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",1/31/2013,1251,lb/d,Q2,DAILY MX,ENF,206,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2014,1251,lb/d,Q2,DAILY MX,ENF,206,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",5/31/2014,1251,lb/d,Q2,DAILY MX,ENF,208,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2019,1251,lb/d,Q2,DAILY MX,ENF,208,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",2/28/2011,1251,lb/d,Q2,DAILY MX,ENF,210,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",9/30/2009,1251,lb/d,Q2,DAILY MX,ENF,213,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2018,1251,lb/d,Q2,DAILY MX,ENF,214,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",12/31/2009,1251,lb/d,Q2,DAILY MX,ENF,217,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",9/30/2015,1251,lb/d,Q2,DAILY MX,ENF,220,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",9/30/2010,1251,lb/d,Q2,DAILY MX,ENF,222,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",8/31/2015,1251,lb/d,Q2,DAILY MX,ENF,225,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2016,1251,lb/d,Q2,DAILY MX,ENF,225,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2018,1251,lb/d,Q2,DAILY MX,ENF,227,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2014,1251,lb/d,Q2,DAILY MX,ENF,228,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",8/31/2013,1251,lb/d,Q2,DAILY MX,ENF,229,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",7/31/2016,1251,lb/d,Q2,DAILY MX,ENF,238,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",8/31/2018,1251,lb/d,Q2,DAILY MX,ENF,241,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",2/29/2012,1251,lb/d,Q2,DAILY MX,ENF,245,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",8/31/2014,1251,lb/d,Q2,DAILY MX,ENF,245,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",12/31/2010,1251,lb/d,Q2,DAILY MX,ENF,250,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",7/31/2011,1251,lb/d,Q2,DAILY MX,ENF,250,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",4/30/2009,1251,lb/d,Q2,DAILY MX,ENF,254,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",1/31/2015,1251,lb/d,Q2,DAILY MX,ENF,255,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2017,1251,lb/d,Q2,DAILY MX,ENF,257,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",1/31/2016,1251,lb/d,Q2,DAILY MX,ENF,260,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",9/30/2018,1251,lb/d,Q2,DAILY MX,ENF,260,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",9/30/2014,1251,lb/d,Q2,DAILY MX,ENF,266,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",5/31/2017,1251,lb/d,Q2,DAILY MX,ENF,266,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2008,1251,lb/d,Q2,DAILY MX,ENF,267,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",4/30/2013,1251,lb/d,Q2,DAILY MX,ENF,268,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2010,1251,lb/d,Q2,DAILY MX,ENF,269,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",4/30/2008,1251,lb/d,Q2,DAILY MX,ENF,270,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2011,1251,lb/d,Q2,DAILY MX,ENF,270,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",12/31/2013,1251,lb/d,Q2,DAILY MX,ENF,270,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",7/31/2010,1251,lb/d,Q2,DAILY MX,ENF,275,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",4/30/2012,1251,lb/d,Q2,DAILY MX,ENF,275,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",12/31/2015,1251,lb/d,Q2,DAILY MX,ENF,275,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",4/30/2016,1251,lb/d,Q2,DAILY MX,ENF,275,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",3/31/2020,1251,lb/d,Q2,DAILY MX,ENF,280,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",1/31/2011,1251,lb/d,Q2,DAILY MX,ENF,282,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",2/28/2014,1251,lb/d,Q2,DAILY MX,ENF,284,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2017,1251,lb/d,Q2,DAILY MX,ENF,285,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",1/31/2019,1251,lb/d,Q2,DAILY MX,ENF,285,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2016,1251,lb/d,Q2,DAILY MX,ENF,293,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2017,1251,lb/d,Q2,DAILY MX,ENF,293,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2015,1251,lb/d,Q2,DAILY MX,ENF,298,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2023,1251,lb/d,Q2,DAILY MX,ENF,30,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",5/31/2011,1251,lb/d,Q2,DAILY MX,ENF,300,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2011,1251,lb/d,Q2,DAILY MX,ENF,300,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",7/31/2014,1251,lb/d,Q2,DAILY MX,ENF,300,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",12/31/2018,1251,lb/d,Q2,DAILY MX,ENF,300,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",7/31/2018,1251,lb/d,Q2,DAILY MX,ENF,301,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",1/31/2017,1251,lb/d,Q2,DAILY MX,ENF,307,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",8/31/2009,1251,lb/d,Q2,DAILY MX,ENF,310,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",2/28/2015,1251,lb/d,Q2,DAILY MX,ENF,320,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",5/31/2018,1251,lb/d,Q2,DAILY MX,ENF,320,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",4/30/2010,1251,lb/d,Q2,DAILY MX,ENF,325,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",8/31/2022,1251,lb/d,Q2,DAILY MX,ENF,33,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2009,1251,lb/d,Q2,DAILY MX,ENF,333,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",8/31/2012,1251,lb/d,Q2,DAILY MX,ENF,340,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2014,1251,lb/d,Q2,DAILY MX,ENF,347,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",9/30/2022,1251,lb/d,Q2,DAILY MX,ENF,35,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2023,1251,lb/d,Q2,DAILY MX,ENF,35,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",1/31/2014,1251,lb/d,Q2,DAILY MX,ENF,350,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",3/31/2018,1251,lb/d,Q2,DAILY MX,ENF,350,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",3/31/2008,1251,lb/d,Q2,DAILY MX,ENF,367,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",3/31/2012,1251,lb/d,Q2,DAILY MX,ENF,367,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",8/31/2016,1251,lb/d,Q2,DAILY MX,ENF,367,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",5/31/2009,1251,lb/d,Q2,DAILY MX,ENF,369,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",8/31/2011,1251,lb/d,Q2,DAILY MX,ENF,375,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",5/31/2019,1251,lb/d,Q2,DAILY MX,ENF,375,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2022,1251,lb/d,Q2,DAILY MX,ENF,38,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",3/31/2016,1251,lb/d,Q2,DAILY MX,ENF,383,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",1/31/2012,1251,lb/d,Q2,DAILY MX,ENF,384,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2013,1251,lb/d,Q2,DAILY MX,ENF,384,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",2/28/2018,1251,lb/d,Q2,DAILY MX,ENF,384,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",2/28/2017,1251,lb/d,Q2,DAILY MX,ENF,387,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",3/31/2017,1251,lb/d,Q2,DAILY MX,ENF,387,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",4/30/2011,1251,lb/d,Q2,DAILY MX,ENF,390,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",1/31/2018,1251,lb/d,Q2,DAILY MX,ENF,396,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2022,1251,lb/d,Q2,DAILY MX,ENF,40,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",4/30/2015,1251,lb/d,Q2,DAILY MX,ENF,400,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",4/30/2019,1251,lb/d,Q2,DAILY MX,ENF,400,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",4/30/2018,1251,lb/d,Q2,DAILY MX,ENF,404,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",12/31/2011,1251,lb/d,Q2,DAILY MX,ENF,405,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2015,1251,lb/d,Q2,DAILY MX,ENF,410,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",1/31/2009,1251,lb/d,Q2,DAILY MX,ENF,417,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",4/30/2017,1251,lb/d,Q2,DAILY MX,ENF,417,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2023,1251,lb/d,Q2,DAILY MX,ENF,42,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",3/31/2014,1251,lb/d,Q2,DAILY MX,ENF,420,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",2/29/2016,1251,lb/d,Q2,DAILY MX,ENF,428,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",7/31/2022,1251,lb/d,Q2,DAILY MX,ENF,43,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",2/28/2013,1251,lb/d,Q2,DAILY MX,ENF,440,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",8/31/2008,1251,lb/d,Q2,DAILY MX,ENF,450,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",1/31/2010,1251,lb/d,Q2,DAILY MX,ENF,467,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",9/30/2012,1251,lb/d,Q2,DAILY MX,ENF,467,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",8/31/2017,1251,lb/d,Q2,DAILY MX,ENF,477,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",12/31/2021,1251,lb/d,Q2,DAILY MX,ENF,48,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",9/30/2023,1251,lb/d,Q2,DAILY MX,ENF,48,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",2/28/2019,1251,lb/d,Q2,DAILY MX,ENF,494,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",2/28/2009,1251,lb/d,Q2,DAILY MX,ENF,508,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",9/30/2017,1251,lb/d,Q2,DAILY MX,ENF,508,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",3/31/2013,1251,lb/d,Q2,DAILY MX,ENF,514,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",7/31/2017,1251,lb/d,Q2,DAILY MX,ENF,514,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",5/31/2008,1251,lb/d,Q2,DAILY MX,ENF,518,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2012,1251,lb/d,Q2,DAILY MX,ENF,520,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",7/31/2013,1251,lb/d,Q2,DAILY MX,ENF,521,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",3/31/2015,1251,lb/d,Q2,DAILY MX,ENF,525,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",3/31/2009,1251,lb/d,Q2,DAILY MX,ENF,550,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",3/31/2019,1251,lb/d,Q2,DAILY MX,ENF,550,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",7/31/2015,1251,lb/d,Q2,DAILY MX,ENF,564,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",12/31/2019,1251,lb/d,Q2,DAILY MX,ENF,569,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2021,1251,lb/d,Q2,DAILY MX,ENF,58,lb/d,
NH0100871,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2012,1251,lb/d,Q2,DAILY MX,ENF,614,lb/d,
