NPDES Permit Number,Outfall Number,Monitoring Location Code,Limit Set Designator,Parameter Code,Parameter Description,Monitoring Period Date,Limit Value,Limit Value Unit,DMR Value Type,Statistical Base,Limit Type Code,DMR Value,DMR Value Unit,Notes
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",3/31/2024,Mon,lb/d,Q1,MO AVG,ENF,114,lb/d,NPDES Monitoring Period Data Download
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",1/31/2024,Mon,lb/d,Q1,MO AVG,ENF,143,lb/d,"NHG58A004: EXETER WASTEWATER TREATMENT FACILITY, EXETER, NH"
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",11/30/2023,Mon,lb/d,Q1,MO AVG,ENF,22,lb/d,Monitoring Period = 1/01/2008 to 07/31/2024
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",10/31/2023,Mon,lb/d,Q1,MO AVG,ENF,31,lb/d,
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",6/30/2023,Mon,lb/d,Q1,MO AVG,ENF,37,lb/d,
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",4/30/2023,Mon,lb/d,Q1,MO AVG,ENF,40,lb/d,
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",8/31/2023,Mon,lb/d,Q1,MO AVG,ENF,44,lb/d,
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",9/30/2023,Mon,lb/d,Q1,MO AVG,ENF,48,lb/d,
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",5/31/2024,Mon,lb/d,Q1,MO AVG,ENF,48,lb/d,
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",5/31/2023,Mon,lb/d,Q1,MO AVG,ENF,51,lb/d,
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",7/31/2023,Mon,lb/d,Q1,MO AVG,ENF,51,lb/d,
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",11/30/2022,Mon,lb/d,Q1,MO AVG,ENF,62,lb/d,
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",2/28/2023,Mon,lb/d,Q1,MO AVG,ENF,66.8,lb/d,
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",2/29/2024,Mon,lb/d,Q1,MO AVG,ENF,75,lb/d,
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",4/30/2024,Mon,lb/d,Q1,MO AVG,ENF,78,lb/d,
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",12/31/2023,Mon,lb/d,Q1,MO AVG,ENF,84,lb/d,
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",3/31/2023,Mon,lb/d,Q1,MO AVG,ENF,85.6,lb/d,
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",12/31/2022,Mon,lb/d,Q1,MO AVG,ENF,88,lb/d,
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",1/31/2023,Mon,lb/d,Q1,MO AVG,ENF,92.1,lb/d,
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",11/30/2023,Mon,mg/L,C1,MO AVG,ENF,1.8,mg/L,
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",10/31/2023,Mon,mg/L,C1,MO AVG,ENF,2.3,mg/L,
NHG58A004,1,1,A,600,"Nitrogen, total (as N)",4/30/2023,Mon,mg/L,C1,MO AVG,ENF,2.4,mg/L,
