NPDES Permit Number,Outfall Number,Monitoring Location Code,Limit Set Designator,Parameter Code,Parameter Description,Monitoring Period Date,Limit Value,Limit Value Unit,DMR Value Type,Statistical Base,Limit Type Code,DMR Value,DMR Value Unit,Notes
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",2/29/2024,Mon,lb/d,Q1,MO AVG,ENF,10,lb/d,NPDES Monitoring Period Data Download
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",5/31/2022,Mon,lb/d,Q1,MO AVG,ENF,10.1,lb/d,"NHG58A012: NEWFIELDS WWTF, NEWFIELDS, NH"
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",12/31/2022,Mon,lb/d,Q1,MO AVG,ENF,10.7,lb/d,Monitoring Period = 1/01/2008 to 07/31/2024
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",11/30/2021,Mon,lb/d,Q1,MO AVG,ENF,11.4,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",6/30/2021,Mon,lb/d,Q1,MO AVG,ENF,11.7,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",5/31/2021,Mon,lb/d,Q1,MO AVG,ENF,11.8,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",1/31/2022,Mon,lb/d,Q1,MO AVG,ENF,11.8,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",3/31/2022,Mon,lb/d,Q1,MO AVG,ENF,11.8,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",2/28/2023,Mon,lb/d,Q1,MO AVG,ENF,11.8,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",3/31/2023,Mon,lb/d,Q1,MO AVG,ENF,11.9,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",1/31/2023,Mon,lb/d,Q1,MO AVG,ENF,12.4,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",4/30/2022,Mon,lb/d,Q1,MO AVG,ENF,12.6,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",7/31/2021,Mon,lb/d,Q1,MO AVG,ENF,13,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",8/31/2021,Mon,lb/d,Q1,MO AVG,ENF,13.3,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",2/28/2022,Mon,lb/d,Q1,MO AVG,ENF,13.7,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",4/30/2024,Mon,lb/d,Q1,MO AVG,ENF,13.8,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",1/31/2024,Mon,lb/d,Q1,MO AVG,ENF,14.5,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",8/31/2023,Mon,lb/d,Q1,MO AVG,ENF,19.8,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",6/30/2023,Mon,lb/d,Q1,MO AVG,ENF,2.45,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",5/31/2024,Mon,lb/d,Q1,MO AVG,ENF,23,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",3/31/2024,Mon,lb/d,Q1,MO AVG,ENF,27,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",9/30/2022,Mon,lb/d,Q1,MO AVG,ENF,4.9,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",10/31/2022,Mon,lb/d,Q1,MO AVG,ENF,5.2,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",9/30/2023,Mon,lb/d,Q1,MO AVG,ENF,5.2,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",10/31/2021,Mon,lb/d,Q1,MO AVG,ENF,5.5,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",7/31/2022,Mon,lb/d,Q1,MO AVG,ENF,5.5,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",4/30/2023,Mon,lb/d,Q1,MO AVG,ENF,5.7,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",11/30/2022,Mon,lb/d,Q1,MO AVG,ENF,5.9,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",5/31/2023,Mon,lb/d,Q1,MO AVG,ENF,7.3,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",7/31/2023,Mon,lb/d,Q1,MO AVG,ENF,7.3,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",11/30/2023,Mon,lb/d,Q1,MO AVG,ENF,7.4,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",8/31/2022,Mon,lb/d,Q1,MO AVG,ENF,7.6,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",9/30/2021,Mon,lb/d,Q1,MO AVG,ENF,8,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",6/30/2022,Mon,lb/d,Q1,MO AVG,ENF,8.2,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",12/31/2023,Mon,lb/d,Q1,MO AVG,ENF,8.2,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",12/31/2021,Mon,lb/d,Q1,MO AVG,ENF,8.8,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",10/31/2023,Mon,lb/d,Q1,MO AVG,ENF,9,lb/d,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",4/30/2023,Mon,mg/L,C1,MO AVG,ENF,16.4,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",10/31/2023,Mon,mg/L,C1,MO AVG,ENF,16.9,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",5/31/2023,Mon,mg/L,C1,MO AVG,ENF,17.25,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",6/30/2023,Mon,mg/L,C1,MO AVG,ENF,18.6,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",9/30/2023,Mon,mg/L,C1,MO AVG,ENF,18.9,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",10/31/2022,Mon,mg/L,C1,MO AVG,ENF,19,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",8/31/2023,Mon,mg/L,C1,MO AVG,ENF,19,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",10/31/2021,Mon,mg/L,C1,MO AVG,ENF,19.5,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",9/30/2022,Mon,mg/L,C1,MO AVG,ENF,20.2,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",11/30/2022,Mon,mg/L,C1,MO AVG,ENF,20.4,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",7/31/2023,Mon,mg/L,C1,MO AVG,ENF,20.9,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",7/31/2022,Mon,mg/L,C1,MO AVG,ENF,21.1,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",9/30/2021,Mon,mg/L,C1,MO AVG,ENF,21.4,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",11/30/2023,Mon,mg/L,C1,MO AVG,ENF,22.2,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",11/30/2021,Mon,mg/L,C1,MO AVG,ENF,22.9,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",12/31/2021,Mon,mg/L,C1,MO AVG,ENF,23.4,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",6/30/2022,Mon,mg/L,C1,MO AVG,ENF,23.4,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",5/31/2024,Mon,mg/L,C1,MO AVG,ENF,24.3,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",4/30/2024,Mon,mg/L,C1,MO AVG,ENF,24.4,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",2/29/2024,Mon,mg/L,C1,MO AVG,ENF,24.55,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",8/31/2022,Mon,mg/L,C1,MO AVG,ENF,24.6,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",3/31/2024,Mon,mg/L,C1,MO AVG,ENF,24.6,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",12/31/2023,Mon,mg/L,C1,MO AVG,ENF,24.8,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",3/31/2022,Mon,mg/L,C1,MO AVG,ENF,25.2,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",3/31/2023,Mon,mg/L,C1,MO AVG,ENF,25.6,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",1/31/2024,Mon,mg/L,C1,MO AVG,ENF,25.6,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",4/30/2022,Mon,mg/L,C1,MO AVG,ENF,26,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",5/31/2022,Mon,mg/L,C1,MO AVG,ENF,26,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",12/31/2022,Mon,mg/L,C1,MO AVG,ENF,28.6,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",2/28/2022,Mon,mg/L,C1,MO AVG,ENF,28.8,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",1/31/2022,Mon,mg/L,C1,MO AVG,ENF,29.7,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",2/28/2023,Mon,mg/L,C1,MO AVG,ENF,29.8,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",8/31/2021,Mon,mg/L,C1,MO AVG,ENF,31.2,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",1/31/2023,Mon,mg/L,C1,MO AVG,ENF,31.5,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",7/31/2021,Mon,mg/L,C1,MO AVG,ENF,31.9,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",5/31/2021,Mon,mg/L,C1,MO AVG,ENF,33,mg/L,
NHG58A012,1,1,A,600,"Nitrogen, total (as N)",6/30/2021,Mon,mg/L,C1,MO AVG,ENF,33.6,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",11/30/2023,Mon,mg/L,C1,MO AVG,ENF,12.8,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",10/31/2023,Mon,mg/L,C1,MO AVG,ENF,13,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",11/30/2022,Mon,mg/L,C1,MO AVG,ENF,14,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",4/30/2023,Mon,mg/L,C1,MO AVG,ENF,14,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",12/31/2023,Mon,mg/L,C1,MO AVG,ENF,14.8,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",5/31/2023,Mon,mg/L,C1,MO AVG,ENF,15,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",10/31/2022,Mon,mg/L,C1,MO AVG,ENF,15.8,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",6/30/2023,Mon,mg/L,C1,MO AVG,ENF,17.5,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",9/30/2023,Mon,mg/L,C1,MO AVG,ENF,18.2,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",10/31/2021,Mon,mg/L,C1,MO AVG,ENF,18.3,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",11/30/2021,Mon,mg/L,C1,MO AVG,ENF,18.4,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",8/31/2023,Mon,mg/L,C1,MO AVG,ENF,18.6,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",9/30/2022,Mon,mg/L,C1,MO AVG,ENF,19,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",12/31/2021,Mon,mg/L,C1,MO AVG,ENF,19.5,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",1/31/2024,Mon,mg/L,C1,MO AVG,ENF,19.6,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",7/31/2022,Mon,mg/L,C1,MO AVG,ENF,20.3,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",9/30/2021,Mon,mg/L,C1,MO AVG,ENF,20.8,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",6/30/2022,Mon,mg/L,C1,MO AVG,ENF,20.8,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",7/31/2023,Mon,mg/L,C1,MO AVG,ENF,20.8,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",12/31/2022,Mon,mg/L,C1,MO AVG,ENF,21.5,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",3/31/2023,Mon,mg/L,C1,MO AVG,ENF,22.2,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",2/29/2024,Mon,mg/L,C1,MO AVG,ENF,22.75,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",3/31/2024,Mon,mg/L,C1,MO AVG,ENF,23.75,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",5/31/2022,Mon,mg/L,C1,MO AVG,ENF,23.8,mg/L,
NHG58A012,1,1,A,625,"Nitrogen, Kjeldahl, total (as N)",3/31/2022,Mon,mg/L,C1,MO AVG,ENF,24,mg/L,
