NPDES Permit Number,Outfall Number,Monitoring Location Code,Limit Set Designator,Parameter Code,Parameter Description,Monitoring Period Date,Limit Value,Limit Value Unit,DMR Value Type,Statistical Base,Limit Type Code,DMR Value,DMR Value Unit,Notes
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2022,29.3,lb/d,Q1,MO AVG,ENF,0.18,lb/d,NPDES Monitoring Period Data Download
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",7/31/2022,29.3,lb/d,Q1,MO AVG,ENF,0.36,lb/d,"NHG580011: NEWFIELDS WWTF, NEWFIELDS, NH"
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",1/31/2023,29.3,lb/d,Q1,MO AVG,ENF,0.56,lb/d,Monitoring Period = 1/01/2021 to 02/29/2024
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",8/31/2022,29.3,lb/d,Q1,MO AVG,ENF,0.59,lb/d,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",9/30/2022,29.3,lb/d,Q1,MO AVG,ENF,0.75,lb/d,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",4/30/2022,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",5/31/2022,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2022,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2022,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",12/31/2022,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",5/31/2023,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2023,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",7/31/2023,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",8/31/2023,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2023,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2023,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",12/31/2023,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",9/30/2023,29.3,lb/d,Q1,MO AVG,ENF,1,lb/d,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",1/31/2024,29.3,lb/d,Q1,MO AVG,ENF,2,lb/d,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",2/28/2023,29.3,lb/d,Q1,MO AVG,ENF,2.7,lb/d,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",4/30/2023,29.3,lb/d,Q1,MO AVG,ENF,4.5,lb/d,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",3/31/2023,29.3,lb/d,Q1,MO AVG,ENF,5.1,lb/d,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",2/29/2024,29.3,lb/d,Q1,MO AVG,ENF,8,lb/d,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",9/30/2022,30,mg/L,C1,MO AVG,ENF,0.8,mg/L,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",4/30/2022,30,mg/L,C1,MO AVG,ENF,0,mg/L,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",5/31/2022,30,mg/L,C1,MO AVG,ENF,0,mg/L,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2022,30,mg/L,C1,MO AVG,ENF,0,mg/L,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",7/31/2022,30,mg/L,C1,MO AVG,ENF,0,mg/L,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",8/31/2022,30,mg/L,C1,MO AVG,ENF,0,mg/L,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2022,30,mg/L,C1,MO AVG,ENF,0,mg/L,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2022,30,mg/L,C1,MO AVG,ENF,0,mg/L,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",12/31/2022,30,mg/L,C1,MO AVG,ENF,0,mg/L,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",1/31/2023,30,mg/L,C1,MO AVG,ENF,0,mg/L,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",2/28/2023,30,mg/L,C1,MO AVG,ENF,0,mg/L,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",5/31/2023,30,mg/L,C1,MO AVG,ENF,0,mg/L,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2023,30,mg/L,C1,MO AVG,ENF,0,mg/L,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",7/31/2023,30,mg/L,C1,MO AVG,ENF,0,mg/L,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",8/31/2023,30,mg/L,C1,MO AVG,ENF,0,mg/L,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2023,30,mg/L,C1,MO AVG,ENF,0,mg/L,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2023,30,mg/L,C1,MO AVG,ENF,0,mg/L,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",12/31/2023,30,mg/L,C1,MO AVG,ENF,0,mg/L,
NHG580011,001,1,A,00310,"BOD, 5-day, 20 deg. C",9/30/2023,30,mg/L,C1,MO AVG,ENF,1,mg/L,
