NPDES Permit Number,Outfall Number,Monitoring Location Code,Limit Set Designator,Parameter Code,Parameter Description,Monitoring Period Date,Limit Value,Limit Value Unit,DMR Value Type,Statistical Base,Limit Type Code,DMR Value,DMR Value Unit,Notes
NHG58A008,1,1,A,600,"Nitrogen, total (as N)",11/30/2022,Mon,lb/d,Q1,MO AVG,ENF,10.1,lb/d,NPDES Monitoring Period Data Download
NHG58A008,1,1,A,600,"Nitrogen, total (as N)",8/31/2023,Mon,lb/d,Q1,MO AVG,ENF,10.3,lb/d,"NHG58A008: NEWMARKET WATER POLLUTION CONTROL FACILITY, NEWMARKET, NH"
NHG58A008,1,1,A,600,"Nitrogen, total (as N)",2/28/2023,Mon,lb/d,Q1,MO AVG,ENF,10.9,lb/d,Monitoring Period = 1/01/2008 to 07/31/2024
NHG58A008,1,1,A,600,"Nitrogen, total (as N)",4/30/2023,Mon,lb/d,Q1,MO AVG,ENF,11.6,lb/d,
NHG58A008,1,1,A,600,"Nitrogen, total (as N)",7/31/2023,Mon,lb/d,Q1,MO AVG,ENF,11.7,lb/d,
NHG58A008,1,1,A,600,"Nitrogen, total (as N)",11/30/2023,Mon,lb/d,Q1,MO AVG,ENF,12,lb/d,
NHG58A008,1,1,A,600,"Nitrogen, total (as N)",9/30/2023,Mon,lb/d,Q1,MO AVG,ENF,12.2,lb/d,
NHG58A008,1,1,A,600,"Nitrogen, total (as N)",12/31/2022,Mon,lb/d,Q1,MO AVG,ENF,13.3,lb/d,
NHG58A008,1,1,A,600,"Nitrogen, total (as N)",2/29/2024,Mon,lb/d,Q1,MO AVG,ENF,14.1,lb/d,
NHG58A008,1,1,A,600,"Nitrogen, total (as N)",3/31/2023,Mon,lb/d,Q1,MO AVG,ENF,15.1,lb/d,
NHG58A008,1,1,A,600,"Nitrogen, total (as N)",6/30/2023,Mon,lb/d,Q1,MO AVG,ENF,15.1,lb/d,
NHG58A008,1,1,A,600,"Nitrogen, total (as N)",5/31/2023,Mon,lb/d,Q1,MO AVG,ENF,16.7,lb/d,
NHG58A008,1,1,A,600,"Nitrogen, total (as N)",5/31/2024,Mon,lb/d,Q1,MO AVG,ENF,16.9,lb/d,
NHG58A008,1,1,A,600,"Nitrogen, total (as N)",12/31/2023,Mon,lb/d,Q1,MO AVG,ENF,18.7,lb/d,
NHG58A008,1,1,A,600,"Nitrogen, total (as N)",4/30/2024,Mon,lb/d,Q1,MO AVG,ENF,19.5,lb/d,
NHG58A008,1,1,A,600,"Nitrogen, total (as N)",1/31/2024,Mon,lb/d,Q1,MO AVG,ENF,21.9,lb/d,
NHG58A008,1,1,A,600,"Nitrogen, total (as N)",1/31/2023,Mon,lb/d,Q1,MO AVG,ENF,23.2,lb/d,
NHG58A008,1,1,A,600,"Nitrogen, total (as N)",3/31/2024,Mon,lb/d,Q1,MO AVG,ENF,24.8,lb/d,
NHG58A008,1,1,A,600,"Nitrogen, total (as N)",7/31/2022,Mon,lb/d,Q1,MO AVG,ENF,4.4,lb/d,
NHG58A008,1,1,A,600,"Nitrogen, total (as N)",6/30/2022,Mon,lb/d,Q1,MO AVG,ENF,5.5,lb/d,
