NPDES Permit Number,Outfall Number,Monitoring Location Code,Limit Set Designator,Parameter Code,Parameter Description,Monitoring Period Date,Limit Value,Limit Value Unit,DMR Value Type,Statistical Base,Limit Type Code,DMR Value,DMR Value Unit,Notes
NH0101192,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2012,29.3,lb/d,Q1,MO AVG,ENF,0.63,lb/d,NPDES Monitoring Period Data Download
NH0101192,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2012,29.3,lb/d,Q1,MO AVG,ENF,0.8,lb/d,"NH0101192: NEWFIELDS WWTF, NEWFIELDS, NH"
NH0101192,001,1,A,00310,"BOD, 5-day, 20 deg. C",7/31/2011,29.3,lb/d,Q1,MO AVG,ENF,0.82,lb/d,Monitoring Period = 1/01/2008 to 12/31/2023
NH0101192,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2008,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NH0101192,001,1,A,00310,"BOD, 5-day, 20 deg. C",7/31/2008,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NH0101192,001,1,A,00310,"BOD, 5-day, 20 deg. C",8/31/2008,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NH0101192,001,1,A,00310,"BOD, 5-day, 20 deg. C",9/30/2008,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NH0101192,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2008,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NH0101192,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2008,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NH0101192,001,1,A,00310,"BOD, 5-day, 20 deg. C",7/31/2009,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NH0101192,001,1,A,00310,"BOD, 5-day, 20 deg. C",8/31/2009,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NH0101192,001,1,A,00310,"BOD, 5-day, 20 deg. C",9/30/2009,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NH0101192,001,1,A,00310,"BOD, 5-day, 20 deg. C",10/31/2009,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NH0101192,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2009,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NH0101192,001,1,A,00310,"BOD, 5-day, 20 deg. C",4/30/2010,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
NH0101192,001,1,A,00310,"BOD, 5-day, 20 deg. C",5/31/2010,29.3,lb/d,Q1,MO AVG,ENF,0,lb/d,
