NPDES Permit Number,Outfall Number,Monitoring Location Code,Limit Set Designator,Parameter Code,Parameter Description,Monitoring Period Date,Limit Value,Limit Value Unit,DMR Value Type,Statistical Base,Limit Type Code,DMR Value,DMR Value Unit,Notes
NH0100196,001,1,A,00310,"BOD, 5-day, 20 deg. C",11/30/2010,213,lb/d,Q1,MO AVG,ENF,100.6,lb/d,NPDES Monitoring Period Data Download
NH0100196,001,1,A,00310,"BOD, 5-day, 20 deg. C",5/31/2014,213,lb/d,Q1,MO AVG,ENF,105.5,lb/d,"NH0100196: NEWMARKET WATER POLLUTION CONTROL FACILITY, NEWMARKET, NH"
NH0100196,001,1,A,00310,"BOD, 5-day, 20 deg. C",12/31/2010,213,lb/d,Q1,MO AVG,ENF,105.6,lb/d,Monitoring Period = 1/01/2008 to 12/31/2023
NH0100196,001,1,A,00310,"BOD, 5-day, 20 deg. C",12/31/2015,213,lb/d,Q1,MO AVG,ENF,106,lb/d,
NH0100196,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2021,213,lb/d,Q1,MO AVG,ENF,11.7,lb/d,
NH0100196,001,1,A,00310,"BOD, 5-day, 20 deg. C",5/31/2015,213,lb/d,Q1,MO AVG,ENF,110.3,lb/d,
NH0100196,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2009,213,lb/d,Q1,MO AVG,ENF,110.8,lb/d,
NH0100196,001,1,A,00310,"BOD, 5-day, 20 deg. C",3/31/2015,213,lb/d,Q1,MO AVG,ENF,111.4,lb/d,
NH0100196,001,1,A,00310,"BOD, 5-day, 20 deg. C",6/30/2017,213,lb/d,Q1,MO AVG,ENF,112.2,lb/d,
NH0100196,001,1,A,00310,"BOD, 5-day, 20 deg. C",5/31/2008,213,lb/d,Q1,MO AVG,ENF,113,lb/d,
NH0100196,001,1,A,00310,"BOD, 5-day, 20 deg. C",12/31/2012,213,lb/d,Q1,MO AVG,ENF,119.9,lb/d,
NH0100196,001,1,A,00310,"BOD, 5-day, 20 deg. C",7/31/2018,213,lb/d,Q1,MO AVG,ENF,12,lb/d,
NH0100196,001,1,A,00310,"BOD, 5-day, 20 deg. C",12/31/2014,213,lb/d,Q1,MO AVG,ENF,122.3,lb/d,
