WWTF,NPDES.Permit.Number,Date,TDN_MGL,NO3_MGL,DOC_MGL,PO4_UGL,TN_MGL,Source,Citation
Exeter,NH0100871,4/18/2002,12.86,3.09,10.63,NA,NA,Bolster et al. 2003,"Bolster, C. H., Jones, S. H. & Bromley, J. M. Evaluation of Effects of Wastewater Treatment Discharge on Estuarine Water Quality. 91 (2003)."
Exeter,NH0100872,5/21/2002,11.68,2.38,10.31,NA,NA,Bolster et al. 2003,"Bolster, C. H., Jones, S. H. & Bromley, J. M. Evaluation of Effects of Wastewater Treatment Discharge on Estuarine Water Quality. 91 (2003)."
Exeter,NH0100873,6/18/2002,16,4.49,14.11,NA,NA,Bolster et al. 2003,"Bolster, C. H., Jones, S. H. & Bromley, J. M. Evaluation of Effects of Wastewater Treatment Discharge on Estuarine Water Quality. 91 (2003)."
Exeter,NH0100874,8/7/2002,16.61,3.13,9.72,NA,NA,Bolster et al. 2003,"Bolster, C. H., Jones, S. H. & Bromley, J. M. Evaluation of Effects of Wastewater Treatment Discharge on Estuarine Water Quality. 91 (2003)."
Exeter,NH0100875,8/20/2002,13.16,5.29,13.07,NA,NA,Bolster et al. 2003,"Bolster, C. H., Jones, S. H. & Bromley, J. M. Evaluation of Effects of Wastewater Treatment Discharge on Estuarine Water Quality. 91 (2003)."
Exeter,NH0100876,9/18/2002,10.76,8.21,22.3,NA,NA,Bolster et al. 2003,"Bolster, C. H., Jones, S. H. & Bromley, J. M. Evaluation of Effects of Wastewater Treatment Discharge on Estuarine Water Quality. 91 (2003)."
Exeter,NH0100877,11/25/2002,14.24,2.76,23.48,NA,NA,Bolster et al. 2003,"Bolster, C. H., Jones, S. H. & Bromley, J. M. Evaluation of Effects of Wastewater Treatment Discharge on Estuarine Water Quality. 91 (2003)."
Newfields,NH0101192,4/18/2002,16.71,7.83,10.39,NA,NA,Bolster et al. 2003,"Bolster, C. H., Jones, S. H. & Bromley, J. M. Evaluation of Effects of Wastewater Treatment Discharge on Estuarine Water Quality. 91 (2003)."
Newfields,NH0101192,5/21/2002,14.05,3.64,9.8,NA,NA,Bolster et al. 2003,"Bolster, C. H., Jones, S. H. & Bromley, J. M. Evaluation of Effects of Wastewater Treatment Discharge on Estuarine Water Quality. 91 (2003)."
Newfields,NH0101192,6/18/2002,16.89,2.21,9.6,NA,NA,Bolster et al. 2003,"Bolster, C. H., Jones, S. H. & Bromley, J. M. Evaluation of Effects of Wastewater Treatment Discharge on Estuarine Water Quality. 91 (2003)."
Newmarket,NH0100196,4/18/2002,20.46,4.79,20.91,NA,NA,Bolster et al. 2003,"Bolster, C. H., Jones, S. H. & Bromley, J. M. Evaluation of Effects of Wastewater Treatment Discharge on Estuarine Water Quality. 91 (2003)."
Newmarket,NH0100196,5/21/2002,18.6,2.59,10.25,NA,NA,Bolster et al. 2003,"Bolster, C. H., Jones, S. H. & Bromley, J. M. Evaluation of Effects of Wastewater Treatment Discharge on Estuarine Water Quality. 91 (2003)."
Newmarket,NH0100196,6/18/2002,10.6,0.06,15.15,NA,NA,Bolster et al. 2003,"Bolster, C. H., Jones, S. H. & Bromley, J. M. Evaluation of Effects of Wastewater Treatment Discharge on Estuarine Water Quality. 91 (2003)."
Newmarket,NH0100196,8/7/2002,12.21,5.38,15.38,NA,NA,Bolster et al. 2003,"Bolster, C. H., Jones, S. H. & Bromley, J. M. Evaluation of Effects of Wastewater Treatment Discharge on Estuarine Water Quality. 91 (2003)."
Newmarket,NH0100196,8/21/2002,17.31,5.8,16.81,NA,NA,Bolster et al. 2003,"Bolster, C. H., Jones, S. H. & Bromley, J. M. Evaluation of Effects of Wastewater Treatment Discharge on Estuarine Water Quality. 91 (2003)."
Newmarket,NH0100196,9/18/2002,19.06,3.9,22.95,NA,NA,Bolster et al. 2003,"Bolster, C. H., Jones, S. H. & Bromley, J. M. Evaluation of Effects of Wastewater Treatment Discharge on Estuarine Water Quality. 91 (2003)."
Newmarket,NH0100196,11/25/2002,13.65,1.49,22.56,NA,NA,Bolster et al. 2003,"Bolster, C. H., Jones, S. H. & Bromley, J. M. Evaluation of Effects of Wastewater Treatment Discharge on Estuarine Water Quality. 91 (2003)."
Exeter,NH0100871,2/7/2006,13.7,0.48,9.28,1180,NA,Jones 2007,"Jones, Stephen H., ""Impacts of Wastewater Treatment Facilities on Receiving Water Quality"" (2007). PREP Reports & Publications. 131. https://scholars.unh.edu/prep/131"
Exeter,NH0100871,2/7/2006,12.3,0.33,9.81,1271,NA,Jones 2007,"Jones, Stephen H., ""Impacts of Wastewater Treatment Facilities on Receiving Water Quality"" (2007). PREP Reports & Publications. 131. https://scholars.unh.edu/prep/131"
Exeter,NH0100871,2/7/2006,12.7,0.51,8.18,1489,NA,Jones 2007,"Jones, Stephen H., ""Impacts of Wastewater Treatment Facilities on Receiving Water Quality"" (2007). PREP Reports & Publications. 131. https://scholars.unh.edu/prep/131"
Exeter,NH0100871,2/7/2006,13.5,0.56,9.48,1985,NA,Jones 2007,"Jones, Stephen H., ""Impacts of Wastewater Treatment Facilities on Receiving Water Quality"" (2007). PREP Reports & Publications. 131. https://scholars.unh.edu/prep/131"
Exeter,NH0100871,2/8/2006,14.3,0.47,8.26,1965,NA,Jones 2007,"Jones, Stephen H., ""Impacts of Wastewater Treatment Facilities on Receiving Water Quality"" (2007). PREP Reports & Publications. 131. https://scholars.unh.edu/prep/131"
Exeter,NH0100871,2/9/2006,13.9,0.38,11.39,1990,NA,Jones 2007,"Jones, Stephen H., ""Impacts of Wastewater Treatment Facilities on Receiving Water Quality"" (2007). PREP Reports & Publications. 131. https://scholars.unh.edu/prep/131"
Exeter,NH0100871,2/10/2006,14.3,0.3,9.67,1865,NA,Jones 2007,"Jones, Stephen H., ""Impacts of Wastewater Treatment Facilities on Receiving Water Quality"" (2007). PREP Reports & Publications. 131. https://scholars.unh.edu/prep/131"
Exeter,NH0100871,2/10/2006,14.9,0.32,9.62,1850,NA,Jones 2007,"Jones, Stephen H., ""Impacts of Wastewater Treatment Facilities on Receiving Water Quality"" (2007). PREP Reports & Publications. 131. https://scholars.unh.edu/prep/131"
Exeter,NH0100871,2/10/2006,13.2,0.27,10.38,2792,NA,Jones 2007,"Jones, Stephen H., ""Impacts of Wastewater Treatment Facilities on Receiving Water Quality"" (2007). PREP Reports & Publications. 131. https://scholars.unh.edu/prep/131"
Exeter,NH0100871,2/10/2006,13.1,0.33,9.86,1698,NA,Jones 2007,"Jones, Stephen H., ""Impacts of Wastewater Treatment Facilities on Receiving Water Quality"" (2007). PREP Reports & Publications. 131. https://scholars.unh.edu/prep/131"
Exeter,NH0100871,2/11/2006,12.5,0.31,9.81,1735,NA,Jones 2007,"Jones, Stephen H., ""Impacts of Wastewater Treatment Facilities on Receiving Water Quality"" (2007). PREP Reports & Publications. 131. https://scholars.unh.edu/prep/131"
Newmarket,NH0100196,2/20/2008,15.87,NA,NA,NA,18.859,Trowbridge 2008,"Trowbridge, Philip, ""Total Nitrogen Concentrations in Wastewater Treatment Plant Efflue nt in the Great Bay Estuary Watershed in 2008"" (2008). PREP Reports & Publications. 85. https://scholars.unh.edu/prep/85"
Newmarket,NH0100196,3/13/2008,17.47,NA,NA,NA,20.089,Trowbridge 2008,"Trowbridge, Philip, ""Total Nitrogen Concentrations in Wastewater Treatment Plant Efflue nt in the Great Bay Estuary Watershed in 2008"" (2008). PREP Reports & Publications. 85. https://scholars.unh.edu/prep/85"
Newmarket,NH0100196,4/11/2008,17.75,NA,NA,NA,21.972,Trowbridge 2008,"Trowbridge, Philip, ""Total Nitrogen Concentrations in Wastewater Treatment Plant Efflue nt in the Great Bay Estuary Watershed in 2008"" (2008). PREP Reports & Publications. 85. https://scholars.unh.edu/prep/85"
Newmarket,NH0100196,5/5/2008,20.43,NA,NA,NA,33.108,Trowbridge 2008,"Trowbridge, Philip, ""Total Nitrogen Concentrations in Wastewater Treatment Plant Efflue nt in the Great Bay Estuary Watershed in 2008"" (2008). PREP Reports & Publications. 85. https://scholars.unh.edu/prep/85"
Newmarket,NH0100196,6/11/2008,29.87,NA,NA,NA,42.89,Trowbridge 2008,"Trowbridge, Philip, ""Total Nitrogen Concentrations in Wastewater Treatment Plant Efflue nt in the Great Bay Estuary Watershed in 2008"" (2008). PREP Reports & Publications. 85. https://scholars.unh.edu/prep/85"
Newmarket,NH0100196,7/9/2008,25.34,NA,NA,NA,35.737,Trowbridge 2008,"Trowbridge, Philip, ""Total Nitrogen Concentrations in Wastewater Treatment Plant Efflue nt in the Great Bay Estuary Watershed in 2008"" (2008). PREP Reports & Publications. 85. https://scholars.unh.edu/prep/85"
Newmarket,NH0100196,8/14/2008,11.06,NA,NA,NA,19.456,Trowbridge 2008,"Trowbridge, Philip, ""Total Nitrogen Concentrations in Wastewater Treatment Plant Efflue nt in the Great Bay Estuary Watershed in 2008"" (2008). PREP Reports & Publications. 85. https://scholars.unh.edu/prep/85"
Newmarket,NH0100196,9/12/2008,21.38,NA,NA,NA,35.131,Trowbridge 2008,"Trowbridge, Philip, ""Total Nitrogen Concentrations in Wastewater Treatment Plant Efflue nt in the Great Bay Estuary Watershed in 2008"" (2008). PREP Reports & Publications. 85. https://scholars.unh.edu/prep/85"
Newmarket,NH0100196,10/6/2008,18.95,NA,NA,NA,43.297,Trowbridge 2008,"Trowbridge, Philip, ""Total Nitrogen Concentrations in Wastewater Treatment Plant Efflue nt in the Great Bay Estuary Watershed in 2008"" (2008). PREP Reports & Publications. 85. https://scholars.unh.edu/prep/85"
Newmarket,NH0100196,11/4/2008,17.46,NA,NA,NA,30.483,Trowbridge 2008,"Trowbridge, Philip, ""Total Nitrogen Concentrations in Wastewater Treatment Plant Efflue nt in the Great Bay Estuary Watershed in 2008"" (2008). PREP Reports & Publications. 85. https://scholars.unh.edu/prep/85"
Exeter,NH0100871,2/20/2008,13.74,NA,NA,NA,18.171,Trowbridge 2008,"Trowbridge, Philip, ""Total Nitrogen Concentrations in Wastewater Treatment Plant Efflue nt in the Great Bay Estuary Watershed in 2008"" (2008). PREP Reports & Publications. 85. https://scholars.unh.edu/prep/85"
Exeter,NH0100871,3/13/2008,12.03,NA,NA,NA,14.031,Trowbridge 2008,"Trowbridge, Philip, ""Total Nitrogen Concentrations in Wastewater Treatment Plant Efflue nt in the Great Bay Estuary Watershed in 2008"" (2008). PREP Reports & Publications. 85. https://scholars.unh.edu/prep/85"
Exeter,NH0100871,4/11/2008,9.67,NA,NA,NA,12.59,Trowbridge 2008,"Trowbridge, Philip, ""Total Nitrogen Concentrations in Wastewater Treatment Plant Efflue nt in the Great Bay Estuary Watershed in 2008"" (2008). PREP Reports & Publications. 85. https://scholars.unh.edu/prep/85"
Exeter,NH0100871,5/5/2008,11.27,NA,NA,NA,20.814,Trowbridge 2008,"Trowbridge, Philip, ""Total Nitrogen Concentrations in Wastewater Treatment Plant Efflue nt in the Great Bay Estuary Watershed in 2008"" (2008). PREP Reports & Publications. 85. https://scholars.unh.edu/prep/85"
