WWTF,Monitoring.Period.Date,TSS_mgL,TSS_lbday,TN_lbday,TN_mgL,NH4_mgL,Flow_MGD,Nitrogen Kjeldahl total (as N)_mg_L,NO3_NO2_mgL,TN_mgL_calc,month,year,Final_TN_mgL,period,Final_TN_mgL_method
Exeter,2014-05-31,10,150,208,NA,NA,1.7,NA,NA,14.7,5,2014,14.7,pre-upgrade,Calculated
Exeter,2016-11-30,10,120,337,29,NA,1.4,NA,NA,28.9,11,2016,29,pre-upgrade,Average
Exeter,2015-05-31,11,141,244,NA,NA,1.6,NA,NA,18.3,5,2015,18.3,pre-upgrade,Calculated
Exeter,2018-03-31,11,196,405,22,NA,2.3,NA,NA,21.1,3,2018,22,pre-upgrade,Average
Exeter,2008-02-29,12,313,NA,NA,15.2,2.9,NA,NA,NA,2,2008,NA,pre-upgrade,NA
Exeter,2008-03-31,12,331,NA,NA,11.3,3.2,NA,NA,NA,3,2008,NA,pre-upgrade,NA
Exeter,2008-10-31,12,191,NA,NA,3.1,1.7,NA,NA,NA,10,2008,NA,pre-upgrade,NA
Exeter,2011-05-31,12,213,NA,NA,17,2.3,NA,NA,NA,5,2011,NA,pre-upgrade,NA
Exeter,2012-05-31,12,209,NA,NA,22.4,1.8,NA,NA,NA,5,2012,NA,pre-upgrade,NA
Exeter,2018-12-31,12,207,312,16,NA,2.3,NA,NA,16.3,12,2018,16,pre-upgrade,Average
Exeter,2014-12-31,13,270,507,26,NA,2.5,NA,NA,24.4,12,2014,26,pre-upgrade,Average
Exeter,2018-02-28,13,210,440,25,NA,2,NA,NA,26.4,2,2018,25,pre-upgrade,Average
Exeter,2008-01-31,14,212,NA,NA,21.6,1.9,NA,NA,NA,1,2008,NA,pre-upgrade,NA
Exeter,2008-12-31,14,278,NA,NA,14.4,2.4,NA,NA,NA,12,2008,NA,pre-upgrade,NA
Exeter,2009-05-31,14,195,NA,NA,17.3,1.5,NA,NA,NA,5,2009,NA,pre-upgrade,NA
Exeter,2009-11-30,14,188,NA,NA,15,1.6,NA,NA,NA,11,2009,NA,pre-upgrade,NA
Exeter,2009-12-31,14,244,NA,NA,17.2,2.2,NA,NA,NA,12,2009,NA,pre-upgrade,NA
Exeter,2013-01-31,14,198,NA,NA,22.2,1.7,NA,NA,NA,1,2013,NA,pre-upgrade,NA
Exeter,2013-02-28,14,185,NA,NA,20.8,1.7,NA,NA,NA,2,2013,NA,pre-upgrade,NA
Exeter,2013-09-30,14,194,130,NA,NA,1.5,NA,NA,10.4,9,2013,10.4,pre-upgrade,Calculated
Exeter,2016-12-31,14,186,458,36,NA,1.6,NA,NA,34.4,12,2016,36,pre-upgrade,Average
Exeter,2017-05-31,14,296,412,NA,NA,2.6,NA,NA,19,5,2017,19,pre-upgrade,Calculated
Exeter,2017-06-30,14,229,383,NA,NA,2,NA,NA,23,6,2017,23,pre-upgrade,Calculated
Exeter,2010-02-28,15,299,NA,NA,19,2.1,NA,NA,NA,2,2010,NA,pre-upgrade,NA
Exeter,2014-11-30,15,184,368,30,NA,1.4,NA,NA,31.6,11,2014,30,pre-upgrade,Average
Exeter,2018-11-30,15,403,396,15,NA,3.3,NA,NA,14.4,11,2018,15,pre-upgrade,Average
Exeter,2019-06-30,15,226,344,NA,NA,1.6,NA,NA,25.8,6,2019,25.8,upgrade period,Calculated
